title,Score,Genre,Date,duree,Descriptions,Acteurs,Public
Ted Lasso,8.8,"Comedy,Drama,Sport",2020– ,30,"American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League football team.","Brendan Hunt,Joe Kelly,Bill Lawrence,Jason Sudeikis,Brett Goldstein,Brendan Hunt",TV-MA
Peaky Blinders,8.8,"Crime,Drama",2013–2022,1,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.","Steven Knight,Cillian Murphy,Paul Anderson,Sophie Rundle",TV-MA
Six Feet Under,8.7,"Comedy,Drama",2001–2005,1,A chronicle of the lives of a dysfunctional family who run an independent funeral home in Los Angeles.,"Alan Ball,Peter Krause,Michael C. Hall,Frances Conroy",TV-MA
Rome,8.7,"Action,Drama,Romance",2005–2007,52,A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.,"Bruno Heller,William J. MacDonald,John Milius,Kevin McKidd,Ray Stevenson,Polly Walker",TV-MA
South Park,8.7,"Animation,Comedy",1997– ,22,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.","Trey Parker,Matt Stone,Brian Graden,Trey Parker,Matt Stone,Isaac Hayes",TV-14
One Piece,8.9,"Animation,Action,Adventure",1999– ,24,"Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece"".","Eiichirô Oda,Mayumi Tanaka,Laurent Vernin,Tony Beck",TV-14
"I, Claudius",8.9,"Biography,Drama,History",1976,669,"The personal and governmental affairs of the Julio-Claudian dynasty at the beginning of the Roman Empire, as recalled by one of its rulers.","Derek Jacobi,John Hurt,Siân Phillips",Not Rated
Dragon Ball Z,8.8,"Animation,Action,Adventure",1989–1996,24,"The adventures of Earth's martial arts defender, Son Goku, continue with a new family and the revelation of his alien origins. Now Goku and his allies must defend the planet from an onslaught of new extraterrestrial enemies.","Jôji Yanami,Kyle Hebert,Masako Nozawa",TV-PG
Dragon Ball Z,8.8,"Animation,Action,Adventure",1989–1996,24,"With the help of the powerful Dragonballs, a team of fighters led by the saiyan warrior Goku defend the planet earth from extraterrestrial enemies.","Doc Harris,Christopher Sabat,Scott McNeil",TV-PG
Chappelle's Show,8.8,"Comedy,Music",2003–2006,22,Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.,"Neal Brennan,Dave Chappelle,Dave Chappelle,Donnell Rawlings,Rudy Rush",TV-MA
Succession,8.8,Drama,2018– ,1,"The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company.","Jesse Armstrong,Nicholas Braun,Peter Friedman,Matthew Macfadyen",TV-MA
BoJack Horseman,8.8,"Animation,Comedy,Drama",2014–2020,25,"BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.","Raphael Bob-Waksberg,Will Arnett,Amy Sedaris,Alison Brie",TV-MA
Narcos,8.8,"Biography,Crime,Drama",2015–2017,49,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.","Carlo Bernard,Chris Brancato,Doug Miro,Pedro Pascal,Wagner Moura,Boyd Holbrook",TV-MA
Black Mirror,8.8,"Drama,Mystery,Sci-Fi",2011–2019,1,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.","Charlie Brooker,Daniel Lapaine,Hannah John-Kamen,Michaela Coel",TV-MA
Twin Peaks,8.8,"Crime,Drama,Mystery",1990–1991,47,An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.,"Mark Frost,David Lynch,Kyle MacLachlan,Michael Ontkean,Mädchen Amick",TV-MA
Blackadder Goes Forth,8.8,"Comedy,War",1989,175,,"Rowan Atkinson,Tony Robinson,Stephen Fry",TV-PG
Freaks and Geeks,8.8,"Comedy,Drama",1999–2000,44,A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.,"Paul Feig,Linda Cardellini,John Francis Daley,James Franco",TV-14
Leyla and Mecnun,9.1,"Adventure,Comedy,Drama",2011–2023,80,,"Ali Atay,Serkan Keskin,Osman Sonant",TV-PG
Fawlty Towers,8.8,Comedy,1975–1979,30,"Hotel owner Basil Fawlty's incompetence, short fuse, and arrogance form a combination that ensures accidents and trouble are never far away.","John Cleese,Prunella Scales,Andrew Sachs",TV-PG
Pride and Prejudice,8.8,"Drama,Romance",1995,327,"While the arrival of wealthy gentlemen sends her marriage-minded mother into a frenzy, willful and opinionated Elizabeth Bennet matches wits with haughty Mr. Darcy.","Colin Firth,Jennifer Ehle,Susannah Harker",TV-PG
The West Wing,8.9,Drama,1999–2006,44,Inside the lives of staffers in the West Wing of the White House.,"Aaron Sorkin,Martin Sheen,Rob Lowe,Allison Janney",TV-14
